建物名,駅からの距離,家賃,間取り,面積
ＪＲ京浜東北線 大井町駅 2階建 築69年,ＪＲ京浜東北線/大井町駅 歩8分,6.7,1K,19.0
青木荘,ＪＲ京浜東北線/大井町駅 歩12分,3.5,ワンルーム,11.5
Ｋ・Ｔハウス,ＪＲ京浜東北線/大井町駅 歩8分,6.7,1K,19.0
Galleria大井町,ＪＲ京浜東北線/大井町駅 歩7分,5.2,ワンルーム,19.09
東急大井町線 大井町駅 2階建 築63年,東急大井町線/大井町駅 歩7分,5.2,ワンルーム,19.09
ハイツＱ＆Ｙ,ＪＲ京浜東北線/大井町駅 歩14分,4.8,ワンルーム,13.2
SKハイム,ＪＲ京浜東北線/大井町駅 歩6分,8.8,1K,22.35
ＪＲ京浜東北線 大井町駅 地下1地上9階建 築42年,ＪＲ京浜東北線/大井町駅 歩6分,8.9,1K,24.15
西袋アパート,ＪＲ京浜東北線/大井町駅 歩7分,4.0,ワンルーム,12.0
ＪＲ京浜東北線 大井町駅 2階建 築65年,ＪＲ京浜東北線/大井町駅 歩5分,8.8,1K,22.34
いわい荘,ＪＲ京浜東北線/大井町駅 歩6分,2.8,ワンルーム,10.0
ＪＲ京浜東北線 大井町駅 2階建 築64年,ＪＲ京浜東北線/大井町駅 歩6分,2.8,ワンルーム,10.0
三越ゼームス坂マンション,ＪＲ京浜東北線/大井町駅 歩6分,8.9,1K,24.15
ＪＲ京浜東北線 大井町駅 3階建 築37年,ＪＲ京浜東北線/大井町駅 歩12分,6.0,1K,22.0
美鈴マンション,ＪＲ京浜東北線/大井町駅 歩5分,7.5,1K,24.75
ＪＲ京浜東北線 大井町駅 3階建 築35年,ＪＲ京浜東北線/大井町駅 歩11分,6.9,ワンルーム,23.0
フジハイツ,ＪＲ京浜東北線/大井町駅 歩9分,7.0,1K,22.47
ＪＲ京浜東北線 大井町駅 2階建 築57年,ＪＲ京浜東北線/大井町駅 歩10分,5.6,ワンルーム,14.07
りんかい線 品川シーサイド駅 2階建 築37年,りんかい線/品川シーサイド駅 歩8分,6.5,1K,20.0
桜田マンション,ＪＲ京浜東北線/大井町駅 歩5分,7.5,1K,23.56
ＪＲ京浜東北線 大井町駅 2階建 築55年,ＪＲ京浜東北線/大井町駅 歩3分,4.8,ワンルーム,17.0
ＪＲ京浜東北線 大井町駅 3階建 築41年,ＪＲ京浜東北線/大井町駅 歩5分,6.6,ワンルーム,19.45
タカギハイツ,ＪＲ京浜東北線/大井町駅 歩14分,5.37,1K,20.5
ハイツ戸塚,ＪＲ京浜東北線/大井町駅 歩4分,5.2,ワンルーム,15.0
弐番館,ＪＲ京浜東北線/大井町駅 歩10分,6.0,1K,16.52
ＪＲ京浜東北線 大井町駅 2階建 築36年,ＪＲ京浜東北線/大井町駅 歩12分,5.0,ワンルーム,15.0
りんかい線 天王洲アイル駅 9階建 築23年,りんかい線/天王洲アイル駅 歩6分,7.9,1K,21.54
ファミーユ及川,ＪＲ京浜東北線/大井町駅 歩15分,5.8,1K,16.49
